text,category
bought app use pharmacology course aoda counseling continue use app almost daily easy use updates available frequently author even responded via email question link full prescribing info available technical info needed especially useful quick thorough overviews drugs needed still inexpensive compared medical resources cheap enough try it!,U
"graphics nice game play amazing, lot quick thinking plus get upgrade constantly one thing bugs short game way repeats itself said, wont get tired playing while",U
awesome graphics,U
told 31 13 sad app lowers self asteem lol dont get app misleading inaccurate waste ur time,U
cooooool app ??????,U
app good time fun parties,U
outstanding! enjoy listening podcats app!,U
learned much bones??,U
"stars could higher would rate so want orthopedic surgeon best app ive ever came across learning skeletal system!!! would recommend anyone surgical trainee high school a&p student! best, cant say enough!",U
fun easy way keep heart ratealso quite accurate!!!,U
"short halloween story several puzzles simple story showing mickey later joined friends 2 12 year old probably like it, 4 year old bored quickly one dollar ok",U
app great tool types foodies,U
"use skritter learning japanese its application requires flash, however mainly study iphone probably wouldnt keep srs able access program computer thanks splashtop, practice go (that sounds like infomercial lol)",U
"love app phone ipad, too its accurate easy adddelete cities love graphics,",U
nice !!!!!,U
helpful planning day gives hour hour estimated weather accurate weather report love graphics behind information mostly follows weather expected hour adds lot visual interest,U
great app live gives sky look place im checking,U
weather app awesome easy use!,U
app best!!! screensavers mesmerizing makes think looking right outside!! love it!!!,U
beautiful display lots info instantly,U
"good ,i like it accurate  high tech",U
continues amaze    information views stellar objects,U
something reading story extra features its free good deal,U
"everything wanted craigslist never thought of! love able see large size pics, circle ads like, cross ones interest in havent tried upload picture ipad hope that thanks whoever developed ap!!!",U
love app! easy navigate easy post to! one favorites! ),U
"like visuals app lot, like updates weather )",U
without literally impossible play music xbox! thanks! happy birthday ??,U
app must arsenal bible memorization,U
great way keep crossfit progress,U
"excellent app & easy use, see storms developing coming play one frame time",U
nice radar app easy use,U
"lots topics, something everyone",U
"works great! maps good, better garmin default lowest cache amount make sure turn cache amount dont find without maps lose service make sure scout area maps want hunting cache map area lose service still use cached maps best 5 bucks spent want good hunting gps",U
love app really handy u r woods,U
"new release shows mature ios app look like performs incredibly well, offering features (if all) users could want offered lower price, option enhance application upgrade since users need enhancements, great way offer them",U
"love app, use time check shipping activity puget sound helpful whether land water",U
really like app easy way journal,U
"day one ios devices, mac works beautifully, seamlessly, smoothly add simple photo function, youll rule journal app world five star!",U
p90x client time love workout! p90x app option taking workout gym travel plus nutrition journal makes easier keep track eat day great app! glad purchased app!,U
love game!!! please add options like curler much stuff! really want update!!!! please!!!!!!!!!!!!! oh add characters!!!,U
great app viewing weather,U
bought could see temp badge spent $ much  whatsup?,U
its accurate weather forecaster gets paid good money often 100% wrong far app close enough allow dress appropriately cares much scientific input dont want carrying umbrella sun shining,U
exactly want,U
great little app phone handy spur moment shopping sprees easy use list items also,U
"great app ive used odb ipod touch iphone got ipad 2 version refined like way app remembers choice bible version (currently the message) tap scripture day isnt case iphone app one always change version default couple formatting issue suggestions 1 poem bottom page almost never formatted like online website would nice lines stacked simply strung row 2 one things ive always enjoyed cover photos cover current month shows upper righthand corner, way enlarge it one would think simple double-tap could bring cover art full screen? 3 traveling dont always wifi link, issues cached nice instances simply use bible app (or print version) get scripture day dont expect (or want) odb cache scripture biblegatewaycom device, would nice way app set-up direct odb app olivetree app onboard scripture day may difficult already elegant app keep good work!",U
"used countless occasions now come handy, use party wowd first time gave 4 stars speech bit quirky (may iphone speech recognitions problems) translator breaks sentence funny but, type talk like caveman gets point across every time overall pleased buck!",U
"truly amazed well app worksthe thing stands fact recording voice translation, actually understands me!! deep voice never type software able take said convert correct versioni pleased appyou get ??",U
"best post-edit app ive tried date advanced features rival even exceed camera+ (which also love) grab free promo, even $499 ones worth splurge",U
love app use night go sleep with,U
"looking good nightstand application instead found great app separate alarms, separate days, wake music, slide dimmer around great app",U
perfect storing crazy pics have,U
nursing student lab reference best ever seen used! helped understand labs much! highly recommend app!!!,U
helpful home health nurse field,U
"clinilab navigator, lab tests online, medline plus, webmd information thousands commonly used abbreviation",U
"practical, easy, music lovers",U
love app!!! use often dependable,U
wanted app would separate videos photo library wanted able play photo slideshow without interruption annoying videos music stops start over videos app play right pictures love it!,U
gives hourly weather day too!,U
useful tool posting animal adoption!,U
"must-have students, anyone wants improve word power!",U
guesses every time! got one direction even cher lloyd! love app??????,U
graphics find good thing information point informative perspectives around world ads,U
great app news demand wasted screens navigate through would give 5th star button close app love npr!,U
simple enough use love recurring transactions forgetting figuring balance checkbook every month reason got app export quickbooks although used feature yet reports great would love able main categories sub-categories thats thing missing opinion make truly robust stand-alone financial management app keep good work!,U
best shoe app ever!!!!!!!!!!!!!!!!!!!!!! correct dates prices! lets know every thing shoe!??,U
"excellent addition angry birds games great new features, challenges visuals angry birds fan, definitely worth it new orbit launching neat nice, innovative twist game its definitely harder least opinion, good thing get it",U
love it keeps occupied d time wait,U
"helps keep track budgets ive set (groceries, gas, rent, etc) also tons graphs compare income vs expenses easy use its already helping save money",U
love app dont let forget birthdays,U
never take foreign language class again!!,U
app great presents challenges ages quick yet stimulating wish another level play cuz super addictive,U
"many options, easy use, show instagram facebook!",U
good reference quick review doesnt take away manuel excellent resource refreshing minds acls,U
"love app easy learn use easy understand thing dont like choose option show temp feels like, cant see temp actually is would love able see time",U
ive used app three seasons! first year nfl owns it ive drafted 8 teams years app! user friendly,U
takes minute get use it snake draft perfect app loved happy picks didnt turn pages magazine find next pick,U
"write songs, needed something gadget could record store tunes really impressed little app, sound quality recording nice work developer made this",U
always use app always looking great places eat dont cook lot look variety places try app never disappoints!,U
"fell love app 2009 san fran first time app, found wonderful restaurant right around corner wouldnt known go otherwise generally dont eat anywhere less 80% good job team, useful info!",U
app helpful line business,U
"simple transfers checking account, app golden anything else, cannot say either way",U
app helpful!!!! truly amazing!!!! paid bills,U
lots fun great learning toolm,U
easy use !!!,U
detailed gps even tracks laps local park,U
love site nails every question ever askedvery helpful resourcefulonce found could download app phone made much convienant usmy family goes love it!,U
"app fantastic, actually find even better website easy navigate, easy modify reservations option add calendar puts information right phone calendar invite co-diners easily app (it creates email you) great part filter search 1000 point tables only, neighborhoods within city, distance you, much more use app regular basis- much ill make reservation decided go its easier get there! its great app (and business) always wonder restaurants dont it!",U
"love app, use time! never problem difficulties",U
lots measurements long term forecasts,U
mint great way get control finances really helps reign spending makes aware spend money on love trending charts!,U
"makes reading even fun get rewards! love convenience downloading book able read phone, ipad computer extra bonus, its free )",U
"would docked star, trying read magazine phone borderline insanity! love add books!",U
"syncing bit tricky first, otherwise wonderful reading interface fab!",U
great app!!! helps organize suggestion would add tab homework organize date assignments r due otherwise its amazing app!,U
love site much info fingertips watched video procedure prior surgery comforting thanks!,U
"quick, easy booking best prices!",U
"author, definitely nee something like go its nice wait get home type next chapter book, dont carry around binder full notebook paper amazing ad extremely convenient!!",U
u read books u dont even need wifi luv it! u also post books u wrote self,U
"great app hands reach pronunciation button useful tool unsure proper pronunciation word also, multiple definitions given insure using word true context",U
hated days saving confirmation emails sifting thru looking information its easy aggregated perfect,U
app great road trips kids listen music put headphones listen books,U
"love app, super easy interface use time",U
used communicate free family vacationing caribbean excellent ),U
helps lots im road spending nights away home helps getstay sleeping,U
"great app bugs thoughtful, provoking news",U
thanks thought & effort went creating app handy us love outdoors & natures transitions,U
"sweet app! makes ordering easy, difficult navigate well done pizza hut well done",U
recently used app hurricane isaac app refreshed faster much reliable two big websites get it may need counts did,U
travel d eastern us use frequently stay abreast weather conditions,U
accurate easy use highly recommend it,U
love app! waiting checks mail take credit cards immediately good pricing,U
favorite app really works! must try it,U
loved,U
helps relax shake stress,U
"blew $54 sign three months weight watchers ap discover ap nearly good free ap called lose it! weight watchers membership expires, continue watching food intake lose it! meanwhile, monitoring progress using aps transition seemless far, im finding lose it! much faster easier use",U
great news know get breaking news happens cnn iphone!!,U
always get great comments photo editing!! thanks much!!!,U
awesome app use want communicate fun way!! recommend app ????,U
great uploading receipts go easier reconciling computer,U
"good app comes travel however, photos would really help future",U
easy use manage account,U
love app its accurate useful hope guys planed push notification soon,U
data export great!,U
good!,U
love app! accurate quick response,U
need location simple good,U
great way save! thank u,U
doesnt like good deal every & then? usually something everybody easy user interface pretty thorough app,U
super convenient nice new alerts!,U
love able work phone laptop family tree always date,U
using days now easy navigate understand love it hope stays free,U
"great app, huge selection titles, great free section plenty releases semi-monthlymonthly problem viewer occaisonally hangs often restarting app usually remedies this overall, one best apps entire app store",U
love app!! gives locations deals everything need!! definitely amazing,U
love it excursion kids experiencing new eateries ive save lot money try take advantage huge savings massages good its awesome!,U
helps hard find songs,U
one favorite apps tell everyone know it music lover youll love it really like even gives lyrics song & shows songs music musician(s) children love too its great thank,U
"great like shazam too, dont always want friends know cheesy songs im looking up choose one! )",U
"great ui aggregates much information one place, great app! super intuitive use",U
"one favorite apps! abandoned dad dead mom, got caught stealing bread shop, got sent australia, learned cook sew, married builder need get app!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",U
audiobooks e books library app wonderful!,U
"uninstalling app, tired birthdays appear 4 times calendar",U
app works like charm dont spend extra time finding available associate,U
"its like mix texting talking, better!!!!!!!!!!!!!!!!!!!!!! love it!!!!!!!!!!!!!!!",U
easy way get contact people,U
currently ti-89 titanium use quite often application made dont need carry thy around much spent five minutes playing going amazing,U
love books everywhere go,U
plaquenil years check color- perception regularly appreciated,U
"awesome, give app 10, use flashlight time, helped even day, trying find things darkest places100%totally wonderful",U
love saves turn light using settings use time,U
app works fine basic bank accounts,U
first best app parking rates place life saver useful app,U
its good easy use,U
"couldnt better really, options copy results also send via textemail would like see option viewing results full-screen, sometimes end gets cut off still copiespastes its cool )",U
"exact app every ikea-phile ever wished for finally retire three ring notebook page protectors! thank you, ikea!",U
everyone first get app u fantasy team yes u make trades go standings choose team u want trade press propose trade top screen!!!!!!,U
find app useful mechanism class info free programs missing cant much better (esp free)!,U
"great app, always works spot on!",U
"great app, good info, free, like cams",U
good pass time,U
great handy app love listen pronunciation,U
love app takes less ten seconds let know battery life is!!! love it,U
"app one useful apps have! flexibility insert organize decks, syncing devices, ability dictate notes awesome!!!",U
love app really cool able download existing decks quizlet saved make 158 flash cards study cm level 8 piano exam! thank flashcardlet!,U
"love ) helpful study! paperless, study phone anywhere!",U
"great weather, eazy understand",U
detailed,U
"app made searching easy, quick get app",U
47 eyes good really works well,U
great useful app nothing bad say it helps find best deals gas around city little glitches its supposed to 5 stars!,U
always completely date,U
"used app locally, well traveling sometimes its off, part, works great",U
"matter travel, its accurate use",U
"fort lauderdale il lugano making us feel like royalty! friendly, bending backward relax us end long travel day great app great hotels!",U
app rocks!!! good hotels great price,U
helpful whole working out! heath condition & check time workouts!!,U
particularly like reminder!,U
accurate,U
absolutely love app scan whatever see,U
"easy use, ive found ton cool stuff getting qr codes!! highly recommended",U
app cant imagine got anywhere without it experience its approx 98% accurate spoken directions necessity youre driving alone one improvement would spoken directions little earlier especially busy highway id recommend app anyone looking reliable accurate directions,U
somehow lost contacts app got everything back,U
finally secure place private photos worrying things accidentally seen buy this,U
absolutely handy pics dont need everyone else see,U
great app especially fantasy news one great sources use get info first thing freezes min scrolling article,U
"love app, although wish could add local stores store list",U
"beneficial app, enjoy looking seeing whats available",U
surprised much useful,U
"3 days wont do need least 5 days seems user friendly easy follow perhaps added ingredients--not multiple entries onion, per se",U
"easy uselove frenchusing french stations improve french its working!!! merci, merci!!!",U
pretty much best camera app ive used far awesome features apps lack (the horizon indicator something wasnt expecting use time) great job! ???,U
"decent app finally, notifications here please give us multi account login, google",U
save lot money,U
great app family bujet,U
1 click search sales plan trips love !!!!,U
makes finding hard-to-find deals easy,U
great app great deals great savings whats like!?,U
"love shows great deals, )",U
"easy use, super fast! perfect rush ordering!!!",U
super convenient love able order delicious food phone dominoes keeps getting better better!,U
really love shop delias website look catalogs go anytime love app,U
bezt app ever convenient local international text,U
app like best thing thats ever happened me!! im one friends without phone pinger practically saved social life! best app ever!!,U
"love google+! wealth information love illustrations, content hangoutroom husband connect using tool often its amazing app hope catches on",U
thanks making app manage account better mobile site,U
great app someone go needs know going w delays app helped time interviews,U
app easy use im glad found it!,U
"really great app helps keep track spending, great graphing capabilities, auto categorization & export feature extremely well done show app everyone!",U
"great items fast, easy ordering love fab",U
"love app real time temp reading home screen, need open app entirely view current temp!",U
able find music like play anywhere go,U
"every time try go app crashes sends back home page keep trying trying get on crashing great app, ill give 5 stars crashing problem fixed",U
every day find something new app!,U
ive saved much money many neat apps!,U
great app find free stuff,U
even though lot stuff give away already free personally dont time search app store every day apps gone free brings top quality content daily basis thanks guys!!!,U
getting betterand better really like getting quick data,U
8 week program really works! ran 5k today! awesome!,U
great app! works great playlists! wish worked pandora! definitely worth paying pay version c25k date,U
good forecast always current accurate!,U
beautiful looking app informative well!,U
"harder thought would be, fun, neat",U
theres many cool selections??,U
love app c take pic without hold like always -- <3,U
works perfect picks ton stations really far,U
love using app walt disney world! dont need carry paper maps pamphlets guide family around parks resorts,U
lot workouts free app,U
"love variety monster fight,and love effect parking falling using ramp! good game!!",U
fun way get back touch classmates time-capsule way!,U
"outstanding! everything u need ideas one place lot quicker searching web, good job fellas!",U
great pictures,U
really cool interesting tattoos,U
good way get idea tat!!),U
its great brother hes four disney comes play hes bord,U
love app decide want collage add variety frames,U
love photos backed automatically keep phone,U
"using google drive months, paid account - desktop app totally unreliable failed sync often came back dropbox, always syncing smartly reliably bit pricey though - almost twice expensive competitions want extra space",U
see must io7 better app didn&#39t wish upgrade io7 ipad2 can&#39t orginal ipad feel guys tossed us cold,U
moment figured could transfer photos iphone laptop faster via dropbox plugging phone usb port,U
"flawless operation - zero problems easy use - almost effortless new auto-upload photos videos great &amp useful addition customer support second none (when question, support answered two hours passed)",U
love idea dropbox cloud thing videos take really long time upload think froze ( app didn&#39t take space ipad would impressed ),U
"convenient! lugging laptop losing thumb drive files accessible anytime, anyone, devices another&#39s three full time students house affordable upgrade holds docs, data, music more! lots room available convenient affordable external drive",U
nice ui keep good work!,U
love new design ios 7,U
new interface great,U
it&#39s great app especially iphone users since can&#39t add storage phones time u send email friend inviting get give memory,U
"nice design refresh looks great love app dropbox totally saved work email bunch large files work email system wouldn&#39t take dropbox worked flawlessly get links download files, could also view content right web browser pdfs, word docs, videos viewable browser made presentations breeze! use dropbox personal use love",U
"works well, especially saving files offline use",U
simple use voice recognition great!,U
"wife share 100gb account, it&#39s amazing! many things automatic photovideo upload, iphoto import, works mailbox app, shared folders, photo aggregation website mobile, ability store files cloud (saves space mac old files) obvious things like everything backed real-time, accessibility files anywhere could without anymore! remember computers hoped didn&#39t break lose files? one suggestion automatic photo upload download photo phone&#39s camera roll (say, #tbt), don&#39t automatically re-upload camera imports! it&#39s already dropbox, silly yes, obviously use instagram photo sharing software doctor it, know it&#39s different photo therefore upload",U
"i&#39ve always found dropbox bit buggy, it&#39s gotten worse since updated ios 7 download zip files webpages &amp open files, screen blank, blackened blurred enlarged image symbol (of facebook, google symbols related site zip file webpages came teacher, rely access online &amp line related research work work teacher also, required write notes &amp save zip files order save space so, please fix dropbox! keep telling can&#39t open documents &amp don&#39t authorization alter edit document flip side, documents tell enter password (???) anyone suggestions improve recommends different program recommend, would appreciate thanks!",U
must app set sync pictures take one saved cloud also accessible device dropbox installed signed into! one amazing must product app xx,U
use dropbox everything available easily phone made checking updates projects work sharing items much easier i&#39m computer also makes easy get photos phone computer since never seem move shameless plus - works great combined ifttt move post record things calendar emails contacts via spreadsheet special folders,U
sure lived without best way know keep important files one place access anywhere device!,U
dropbox amazing perfect storage safety love it! wish option change name pictures documents phone,U
"use sync files desktop, laptop, ipad, ipod iphone collaborating others using shared files folders problem ipad endless loop asking connect itunes turned apple problem could solved complete erase restore since problem occurred dropbox, initially assumed problem",U
"i&#39ve tried google drive, box, skydrive, none could upload 20 minute video took dropbox one accepted file",U
pretty much access photos videos go without taking space phone love ittt &lt3,U
dropbox works great access files anywhere highly recommend,U
"simple, needed make transferring certain photos phone computer vice versa simple thanks!",U
"slow uploading, poor background uploading ( really need 3h upload several megabyte video 10 mbit internet ?",U
"app go far ipod touch 4 generation done much little time little 30 seconds account created pictures uploading there! although looking this, trust keep mine apple devices&#39 apps, music, photos videos safe personal files )",U
"it&#39s super easy copy pictures clipboard even save phone, can&#39t download videos?",U
